id,uf,cidade,cep,bairro,enedereco,nome_local
354,AC,RIO BRANCO,69908020,CENTRO,"RUA FRANCO RIBEIRO, 91, CENTRO",ANEXO DA ESCOLA PROF. JOSÉ RODRIGUES LEITE
2124,AM,LÁBREA,69830000,CENTRO,AV CEL LUIZ GOMES SN,UEA
46374,PA,MARITUBA,67100000,SÃO JOSÉ,"RUA CHAVES RODRIGUES, S/N",ERC SÃO JOSÉ
45843,PA,NOVO REPARTIMENTO,68473000,ZONA RURAL,PROJETO RIO GELADO,EMEF PEDRO LUIS DE CAMARGO
26196,MA,BALSAS,65800000,POVOADO ANGELIM - ZONA RURAL,POVOADO ANGELIM,ESCOLA MUNICIPAL PADRE FRANCO SIRIGATTI
27966,MA,IGARAPÉ GRANDE,65720000,POVOADO GENIPAPO-ZONA RURAL,POVOADO GENIPAPO,UNIDADE ESCOLAR ROSENDO CAMPOS
27789,MA,MATÕES DO NORTE,65468000,CENTRO - ZONA URBANA,AV. DR. ANTONIO SAMPAIO S/N,COLEGIO MUNICIPAL ROSEANA SARNEY
55047,PI,COCAL,64235000,CENTRO,RUA OLAVO BILAC 29,UNIDADE ESCOLAR JOSE BASSON
13983,CE,ARACATI,62800000,ALTO DA CHEIA,ALTO DA CHEIA,ESCOLA DE ENSINO FUND ADOLFO CAMINHA
15576,CE,CAUCAIA,61600000,NOVA METROPOLE,"AV. CONTORNO SUL, 255",E.E.F. EDGARD VIEIRA GUERRA
15930,CE,CRATO,63100000,SEMINARIO,LOTEAMENTO FRANCA ALENCAR,ESCOLA MUNICIPAL PROFESSOR ALVARO RODRIGUES MADEIRA
16461,CE,FORTALEZA,60874620,PEDRAS,"RUA LUIS BENTO, 290",EMEIF DOM GERALDO NASCIMENTO
16638,CE,GRANJA,62430000,SAMBAIBA,PRACA FRANCISCO DAS CHAGAS RODRIGUES,ESCOLA DE ENSINO FUNDAMENTAL FRANCISCO INACIO DE ARAUJO
16815,CE,ICÓ,63430000,LAGOINHA - SITIO,SITIO LAGOINHA S/N,ESCOLA DE 1 GRAU JOAO FARIAS DOS SANTOS
18408,CE,NOVA RUSSAS,62200000,LAGOA DE SÃO PEDRO,DISTRITO DE LAGOA DE SÃO PEDRO,ESCOLA MUNICIPAL MANOELA DO NASCIMENTO FREITAS
18939,CE,PORANGA,62220000,DISTRITO,GAMELEIRA DOS ADELINOS,ESCOLA SAO GONCALO - GAMELEIRA DOS ADELINOS
19116,CE,QUIXERAMOBIM,63800000,DISTRITO DE NENELANDIA,FACAO DOS PIMENTA,ESCOLA MIGUEL GOMES PIMENTA
19470,CE,SANTANA DO CARIRI,63190000,DOM LEME,DISTRITO DE DOM LEME,ESCOLA DE ENSINO MÉDIO E FUNDAMENTAL JOÃO FLORIANO PEIXOTO
19824,CE,SOBRAL,62010000,JUNCO,"AV DR JOSE ARIMATEA MONTE E SILVA, 574",EEFI JOSÉ DA MATTA E SILVA
69561,RN,PARNAMIRIM,59150000,ROSA DOS VENTOS,"RUA FRANCISCO FERREIRA DA SILVA, 446",ESCOLA MUNICIPAL PROF LIMIRIO CARDOSO DAVILA
49914,PB,CRUZ DO ESPÍRITO SANTO,58337000,CENTRO,CESAR CARTAXO S/N,CRECHE HELENA PESSOA RIBEIRO COUTINHO
50445,PB,OLHO D'ÁGUA,58760000,CENTRO,"DISTRITO DE SOCORRO,  S/N",E.E.E.F. SEBASTIANA DE ARAÚJO LIMA
1416,AL,PILAR,57150000,CENTRO,AVENIDA PROFESSOR ARTUR RAMOS S/N,ESCOLA PROFESSOR JORGE BARROS
84606,SE,NOSSA SENHORA DO SOCORRO,49160000,PARQUE SÃO JOSÉ,"RUA I, 140","MARIA VITORIA COSTA SANTOS, ESCOLA MUNICIPAL"
84783,SE,SANTA LUZIA DO ITANHY,49230000,CENTRO,RUA BARAO DO RIO BRANCO,"COMENDADOR CALAZANS, ESCOLA ESTADUAL"
84960,SE,UMBAÚBA,49260000,POVOADO ESTIVA,POVOADO ESTIVA,ESCOLA RURAL MUNICIPAL FLORISVAL MACEDO SILVA
11859,BA,SÁTIRO DIAS,48485000,CENTRO,"RUA ALTO DA SAUDADE, S/N - ZONA URBANA",PREDIO ESCOLAR JOAO DOMINGOS CRUZ
12744,BA,VALENÇA,45420000,POVOADO BONFIM,DISTRITO DE GUERÉM (EM FRENTE À IGREJA SR DO BONFIM) - ZONA RURAL,COLÉGIO MUNICIPAL DR. OLIVEIRA BRITTO
31506,MG,ALVINÓPOLIS,35952000,DISTRITO DE BARRETOS,RUA FRANCISCO JUSTINO MAGALHAES,ESCOLA MUNICIPAL PE. ANTONIO GONCALVES MACHADO
32568,MG,BELO HORIZONTE,31570430,PIRATININGA (VENDA NOVA),"RUA JAIR AFONSO INÁCIO, 277",ESCOLA MUNICIPAL ELISA BUZELIN
34338,MG,CLÁUDIO,35530000,SÃO FRANCISCO,SÃO FRANCISCO,SÃO FRANCISCO
40356,MG,SÃO JOÃO NEPOMUCENO,36680000,MATRIZ,"PRACA 13 DE MAIO  , 602",COLEGIO CENECISTA DR. AUGUSTO GLORIA
21948,ES,COLATINA,29700040,ESPLANADA,"R. DOM PEDRO II, 128",EEEFM RUBENS RANGEL
63366,RJ,ANGRA DOS REIS,23900000,BRACUI,EST. SANTA RITA I S/N,ESCOLA MUNICIPAL AUREA PIRES DA GAMA
64074,RJ,CAMPOS DOS GOYTACAZES,28080390,PARQUE GUARUS,AV. BARTOLOMEU LYSANDRO 862,SERVICO SOCIAL DA INDUSTRIA SESI
67437,RJ,RIO DE JANEIRO,11111111,ENGENHO NOVO,RUA PORTO ALEGRE 230,VITORIA TENIS CLUBE
85314,SP,ARAÇATUBA,16075715,TV,"RUA EMILIA SANTOS, 352",EE LAURO BITTENCOURT
86022,SP,BOITUVA,18550000,RESIDENCIAL DE LORENZI,"RUA BENEDITO ANTONIO DE CAMPOS, 381",EMEIF PROFESSOR OLAVO LÁZARO MUNHOZ SOARES
86199,SP,CAÇAPAVA,12280000,SAPÉ I,"RUA MARIA LARA DE SOUZA, 1.000",EMEF FERNANDO PANTALEÃO
86376,SP,CAMPINAS,13059032,JARDIM FLORENCE,"R HELOISA PRATO GABIETTI, 500",EE DR NEWTON OPPERMANN
86730,SP,CARDOSO,15570000,CENTRO,"AV ROMEU VIANA ROMANELLI, 919",EMEFEI PROF LUIZ NUNES FILHO
86907,SP,COTIA,06703420,JARDIM NOVA COIMBRA,"R AZULAO,501",EM PROF ROBERTO JORGE HADDOCH LOBO NETO
87084,SP,DIADEMA,09990150,PARQUE REAL,"RUA DO TANQUE, 640",EE JOSE MAURO DE VASCONCELOS
87438,SP,FRANCO DA ROCHA,07840050,VILA BAZU,"R FRANCISCO MATIAS, S/N",EMEB DIONISIO BOVO (VILA BAZU
87792,SP,GUARULHOS,07132550,PARQUE DAS LARANJEIRAS,"AVENIDA DR. ANIBAL MARTINS, S/N",EE PROFA. VALDERICE TEREZINHA DA MOTA CAMPOS MARCHINI
85491,SP,HORTOLÂNDIA,13185658,JARDIM NOVA EUROPA,"R SAO LUIS, 276",EMEF JARDIM NOVA EUROPA
88323,SP,ITÁPOLIS,14900000,JARDIM VITÓRIA I,"AV. SETE DE SETEMBRO, S/N",EE PROFª MARIA DE LOURDES GENTILE STÉFANO
88500,SP,ITUPEVA,13295000,VILA SAO JOAO,"RUA FELÍCIO FALCO, 180 VILA SÃO JOÃO",PRÉ-ESCOLA VILA SÃO JOÃO
88677,SP,JAÚ,17201440,CENTRO,"R EDGARD FERRAZ, 665",EMEF DR PADUA SALLES
89208,SP,MARÍLIA,17512160,PARQUE RESIDENCIAL JULIETA,"RUA MANOEL PINHEIRO DE MATTOS, 840",EMEF GOVERNADOR MÁRIO COVAS
89385,SP,MIRASSOL,15130000,JD. SANTA CLAUDIA,R. DOS BRANDIMARTE N 14-50,EEPG PROFA. IRIA BARBIERI VITA
90270,SP,PIRACICABA,13402055,JARDIM ITAPUÃ,"RUA GARCA, 535",EE PROF. JETHRO VAZ DE TOLEDO
90624,SP,PRESIDENTE PRUDENTE,19020350,VILA MARISTELA,"AV ADEMAR DE BARROS, 199",EE PROFA CATARINA MARTINS ARTERO
90978,SP,RIO GRANDE DA SERRA,09450000,JARDIM SANTA TEREZA,"AVENIDA JEAN LIETAUD, S/N",EE EDMUNDO LUIZ DE NOBREGA TEIXEIRA
91155,SP,SANTA ISABEL,07500000,CRUZEIRO,RUA CENTRO COMUNITÁRIO SN,CRECHE VICENTINA FERREIRA PORTO
91332,SP,SANTO ANDRÉ,09030590,VILA DORA,"RUA VOTUPORANGA, 20",EMEIEF PE. FERNANDO GODAT -  V. DORA
91509,SP,SÃO BENTO DO SAPUCAÍ,12490000,CENTRO,"PCA GAL MARCONDES SALGADO, 57",E.E. DR GENESIO CANDIDO PEREIRA
91686,SP,SÃO CAETANO DO SUL,09541330,SANTA PAULA,"RUA MARTIM FRANCISCO, 177",EMEF DOM BENEDITO PAULO ALVES DE SOUZA
92040,SP,SÃO MANUEL,18650000,COHAB III,"RUA JOAO DA MOTA MACEDO, S/N",EMEF PROF GERALDO PASCON
92217,SP,SÃO PAULO,05879000,CHACARA SANTA MARIA,"RUA FEITICO DA VILA, 915",EMEF PROF JORGE AMERICANO
92394,SP,SÃO PAULO,04860110,GRANJA NOSSA SENHORA APARECIDA,"RUA HANS CHRISTIAN HANDERSEN, 67",EMEF GRANJA NOSSA SENHORA APARECIDA
92571,SP,SÃO PAULO,02855150,JARDIM CAROMBE,"RUA ROSALVO JOSÉ DA SILVA, S/N",EE. JARDIM CARUMBÉ (RENATO II)
92748,SP,SÃO PAULO,05526000,JARDIM JUSSARA,"R ALM ARISTIDES GUILHEM, 38",EE PROFA JACYRA MOYA MARTINS CARVALHO
92925,SP,SÃO PAULO,04835250,JARDIM ROSALINA,"R GEORGINA BOCHIGLIERI, 317",EM PROF MILTON ABREU FERREIRA DE ALBUQUERQUE
93102,SP,SÃO PAULO,01508000,LIBERDADE,"R SAO JOAQUIM, 320",EEPSG PRES ROOSEVELT
93279,SP,SÃO PAULO,03982190,PARQUE SANTA MADALENA,"RUA ALM OTACILIO CUNHA, 325",EM BRASILIO MACHADO NETO
93456,SP,SÃO PAULO,03081030,TATUAPE,"RUA MARIA EUGENIA, 190",EE ERASMO BRAGA
93633,SP,SÃO PAULO,04165011,VILA DAS MERCES,"AV. NOSSA SENHORA DAS MERCES, 1000",EE PROF RAUL CARDOSO DE ALMEIDA
93810,SP,SÃO PAULO,04119000,VILA MARIANA,"RUA AFONSO CELSO, 671/711",UNIFAI - CENTRO UNIVERSITÁRIO ASSUNÇÃO-UNIDADE VL MARIANA
93987,SP,SÃO PAULO,03613070,VILA SANTANA,"R N SRA DE MONTEVERGINE, 63",COLEGIO MONTE VIRGEM
94341,SP,SOROCABA,18078550,JARDIM SANTA MARINA,"RUA OLINDA AYRES PAULETE, 500",EM PROFESSORA MARIA DE LOURDES AYRES DE MORAES
94518,SP,SUZANO,08664005,PARQUE SANTA ROSA,ESTRADA DOS FERNANDES - KM 5,EEPSG TOKUZO TERAZAKI
94695,SP,TAUBATÉ,12090590,BELEM,"RUA SÃO CAETANO, 701",EMEF PROF. LUIZ RIBEIRO MUNIZ
94872,SP,URUPÊS,15850000,CENTRO,"RUA MARECHAL CASTELO BRANCO, 50",EMEF PROF ATHAYR DA SILVA ROSA
57879,PR,ALMIRANTE TAMANDARÉ,83500000,JARDIM ROSANA,"RUA B, S/N - JARDIM ROSANA",ESCOLA MUNICIPAL PROFESSOR ANTONIO RODRIGUES DIAS
58056,PR,ARAPONGAS,86707005,CENTRO,"RUA ARATAIACU, 729 - ZONA URBANA",ESCOLA MUNICIPAL JULIO SAVIETO
63189,PR,BRAGANEY,30000000,SAO JOAQUIM,SAO JOAQUIM                            ZONA RURAL,SALÃO COMUNITÁRIO DO SÃO JOAQUIM
58587,PR,CAMPO MOURÃO,20050000,CENTRO,AV CAPITAO INDIO BANDEIRA-CENTRO       ZONA URBANA        1900,CLUBE SOCIAL RECREATIVO 10 DE OUTUBRO
59295,PR,CORONEL DOMINGOS SOARES,85557000,SADIA,SADIA,SADIA
60357,PR,GUARAPUAVA,97000000,GUAIRACÁ - MORRO GRANDE,MORRO GRANDE                           ZONA RURAL,CENTRO COMUNITÁRIO MORRO GRANDE
58233,PR,IRACEMA DO OESTE,85833000,CENTRO,"RUA DR CELSO LICINIO, S/N  ZONA URBANA",COLÉGIO ESTADUAL GETULIO VARGAS
61065,PR,MANDIRITUBA,80000000,ROCINHA,ROCINHA,ESCOLA MUN. RURAL ODORICO DE OLIVEIRA(DESATIVADA)
59118,PR,MANGUEIRINHA,40000000,CENTRO,MORRO VERDE                            ZONA RURAL         SN,ESCOLA MUNICIPAL MONTEIRO LOBATO
61596,PR,PATO BRANCO,85504390,BRASILIA,"RUA SALGADO FILHO, 169 -  ZONA URBANA",ESCOLA MATER DEI
61773,PR,PIRAQUARA,83304280,PLANTA DEODORO,"RUA NILZA GELINSKI DE FARIA, 560",ESCOLA MUNICIPAL MARLENE DO ROCIO LICHESKI DOS SANTOS
58410,PR,PITANGUEIRAS,86613000,CENTRO,"RUA OLIMPIA, 70",ESCOLA ODETE BORGES BOTELHO
61950,PR,PONTA GROSSA,84001970,SANTA MÔNICA,"RUA ISRAEL, 404",ESCOLA PROF. SEBASTIAO DOS SANTOS E SILVA
62304,PR,RIO NEGRO,86880000,SITIO DOS VALERIOS,"ESTRADA PRINCIPAL, S/N - ZONA RURAL",E. R. M. PEDRO AMBROSIO ELIAS (ASSOCIAÇÃO DOS MORADORES)
62481,PR,SÃO JOÃO,85570000,ZONA RURAL,LINHA NOVA LURDES,ESCOLA ESTADUAL JOSE DE ANCHIETA
62658,PR,SÃO MATEUS DO SUL,0,SAO MIGUEL DA ROSEIRA,SAO MIGUEL DA ROZEIRA                  S MIGUEL DA ROZEIRA,SALAO PAROQUIAL DE SAO MIGUEL DA ROSEIRA
63012,PR,VERÊ,85585000,CENTRO,"AV. LUIZ FRANCISCO PAGGI, 325",CASA ESCOLAR S JOÃO BATISTA DE LA SALLE
80889,SC,CHAPECÓ,89800000,LINHA BOM RETIRO,"ESTRADA GERAL, S/N",ESCOLA ISOLADA BOM RETIRO
81243,SC,FAXINAL DOS GUEDES,89694000,ROSA,"RUA VINTE DE JANEIRO, N. 1236",ESCOLA MUNICIPAL ALEXANDRE ANTONIOLLI
82482,SC,MAFRA,89300000,BITUVA PAPUAN,"ESTRADA MUNICIPAL DO BITUVA PAPUAN, S/N",ESCOLA ISOLADA BITUVA PAPUAN
83013,SC,RANCHO QUEIMADO,88470000,RIO BONITO,"RUA HENRIQUE CÓRDOVA RAMOS, S/N",SALÃO DA CAPELA CATÓLICA
83190,SC,SANTO AMARO DA IMPERATRIZ,88140000,CENTRO,"RUA  LEOPOLDO BROERING, N. 3267",ESCOLA DE EDUCAÇÃO BÁSICA PROFESSORA ZULMA BECKER
83544,SC,TANGARÁ,89642000,FLORESTA CAÇADOR,"RUA GERAL, S/N",PAVILHÃO DA CAPELA DE FLORESTA CAÇADOR
71331,RS,ALPESTRE,98480000,CENTRO,FARINHAS,ESCOLA ESTADUAL CARLOS NETZOLD - FARINHAS
72039,RS,CAÇAPAVA DO SUL,96570000,CENTRO,VARZINHA - SEIVAL,E.E. ROSENDO CELESTINO
72924,RS,CAXIAS DO SUL,95059520,ANA RECH,"RODOVIA BR 116, KM 138",E.M.E.F. AFONSO SECCO
74163,RS,ENGENHO VELHO,99698000,INTERIOR DO MUNICIPIO,LINHA CACHOEIRINHA,ESCOLA MUNIC. ENSINO FUND. EPITACIO PESSOA - DESATIVADA
74871,RS,JAGUARÃO,96300000,CENTRO,"RUA AUGUSTO LEIVAS, S/N",ESCOLA ESTADUAL DE ENS. FUND. PIO XII
71154,RS,PANTANO GRANDE,96690000,CAPIVARITA,VÁRZEA DO CAPIVARITA,ESCOLA ESTADUAL RITA LOBATO
76287,RS,PORTO ALEGRE,90090040,ILHA DA PINTADA,"RUA CAPITAO COELHO, 95 - ILHA DA PINTADA",ESCOLA ESTADUAL ALMIRANTE BARROSO
70977,RS,PROGRESSO,95925000,TRÊS LAGOAS,TRÊS LAGOAS,ESCOLA MUNICIPAL VIDAL DE NEGREIROS
76818,RS,RIO PARDO,96640000,MUTIRÃO DOS CAMARGO,RUA BAHIA,ESCOLA MUNICIPAL ÉRICO VERÍSSIMO
76110,RS,TIRADENTES DO SUL,98625000,LAJEADO PROGRESSO,LAGEADO PROGRESSO,ESCOLA MUNICIPAL ITAMARACA
78411,RS,TOROPI,97418000,DISTRITO,LINHA BONITA,ESC EST AUGUSTO STEINHAUSEN
79119,RS,TORRES,95560000,CENTRO,MANOEL MATOS PEREIRA,SALAO PAROQUIAL SAO DOMINGOS
79296,RS,TRIUNFO,95840000,CENTRO,RUA LUIZ BARRETO N 45,CLUBE COMERCIAL CENTENARIO
79650,RS,VIADUTOS,99820000,CENTRO,LUIZ ALEGRETTI N 116                   CENTRO,CLUBE VIADUTENSE
72216,RS,VILA MARIA,99155000,INTERIOR,CARLOS GOMES OU LINHA 16 DASSI,ESCOLA DE CARLOS GOMES OU LINHA 16 DASSI
43365,MT,GENERAL CARNEIRO,78620000,ALDEIA INDÍGENA MERURI,BR-070 KM 112,CENTRO SOCIAL
42834,MT,PORTO ESTRELA,78398000,ZONA RURAL,COMUNIDADE RURAL MONJOLINHO,E.M.P.G.  MONJOLINHO
43542,MT,POXORÉO,78800000,JARDIM DAS AMÉRICAS,"AV. BRASÍLIA, 809",PREFEITURA MUNICIPAL DE POXORÉU
42657,MT,SINOP,78550000,BAIRRO ALTO DA GLÓRIA,BR 163 - KM 811,ESCOLA ESTADUAL DE 1º E 2º GRAUS NOSSA SENHORA DA GLÓRIA
44073,MT,SORRISO,78890000,SÃO DOMINGOS,"RUA SÃO FRANCISCO DE ASSIS, SN",ESCOLA MUNICIPAL SÃO DOMINGOS
24249,GO,GOIÂNIA,74835090,SETOR COIMBRA,RUA HAROLDO COIMBRA BUENO NR 336 - SETOR COIMBRA,ANIMA-INSTITUTO DE EDUCAÇÃO (ANTIGO COLÉGIO  PARDAL)
24426,GO,GUAPÓ,75350000,CENTRO,RUA PADRE VICENTE SN,COLÉGIO ESTADUAL PROF LIODÓSIA SERRA RAMOS
21063,DF,BRASÍLIA,71800000,NUCLEO BANDEIRANTE,NUCLEO HABIT. SUL-AE 01 LOT F-PROX  Q17  PARK WAY VARGEM BONITA 71750,CENTRO DE ENSINO VARGEM BONITA
